shoes,total_hands,initial_balance,strategy,card_counting,betting,wins[num],losses[num],ties[num],win_rate[num]%,winrate[balance]%,median,std,min_balance,max_balance,sharpe_like,brokes,broke_rate%,profit_count[num],profit_rate%,performance[sec]
26000,1124676,5000,stand18,dont,ma,458788,579467,86261,40.79870806640368,99.19180692307692,5016.0,467.4182737951903,0,5032,-0.08645287553276093,163,0.6269230769230769,23955,92.13461538461539,22.828
26000,1136354,5000,stand17,dont,ma,473019,558085,105125,41.6306043940086,99.44554923076923,5017.0,413.2641562401655,0,5031,-0.0670818846564273,129,0.49615384615384617,24309,93.49615384615385,22.666
26000,1148792,5000,stand16,dont,ma,483708,566364,98607,42.1099367186133,99.46512538461538,5017.0,406.6256645533215,0,5031,-0.06576990362526368,117,0.44999999999999996,24370,93.73076923076923,22.799
26000,1162287,5000,stand15,dont,ma,494154,576028,91989,42.51990455793511,99.47754384615385,5018.0,408.37014860452416,0,5033,-0.06396845553372216,121,0.4653846153846154,24439,93.99615384615385,23.208
26000,1176724,5000,stand14,dont,ma,500966,590034,85603,42.57731792286778,99.43648923076923,5018.0,417.4229420713494,0,5034,-0.06749877791030004,125,0.4807692307692308,24474,94.13076923076923,23.031
26000,1191044,5000,random,hilo,card_counting,384433,761776,44835,32.27697717296758,75.29250538461538,3961.0,810.5887822149823,586,7635,-1.5240461722076826,0,0.0,547,2.103846153846154,23.574
26000,1117240,5000,stand19,hilo,card_counting,415143,635535,66562,37.15790698507035,84.34083076923076,4342.0,758.6282082177815,746,11430,-1.0320713797050054,0,0.0,2446,9.407692307692308,23.289
26000,1126809,5000,stand18,hilo,card_counting,459636,580691,86482,40.790941499402294,91.03138153846155,4609.0,781.6865597937186,816,11987,-0.5736710161618498,0,0.0,5872,22.584615384615383,23.521
26000,1138260,5000,stand17,hilo,card_counting,472900,560191,105169,41.545868255055964,93.46513923076924,4704.0,793.86213076721,1336,13659,-0.41158662921200784,0,0.0,7458,28.684615384615388,24.314
26000,1150671,5000,stand16,hilo,card_counting,485418,566717,98536,42.18564646193395,94.13897076923077,4745.0,808.5356192380252,1008,12904,-0.3624471879354399,0,0.0,7942,30.546153846153846,23.870
26000,1164282,5000,stand15,hilo,card_counting,495111,577108,92063,42.52500682824264,94.20895307692308,4746.0,810.5586599115557,1076,12918,-0.3572256524721364,0,0.0,8138,31.3,24.367
26000,1178802,5000,stand14,hilo,card_counting,501195,592179,85428,42.517318430067135,93.76434538461538,4723.0,807.5746534309473,1146,14031,-0.3860729524442534,0,0.0,7794,29.97692307692308,24.037
26000,1191152,10000,random,dont,5,384335,762042,44775,32.265823337407824,99.27364038461538,9925.0,31.456935712400135,9800,10075,-2.3090603039833972,0,0.0,218,0.8384615384615385,21.993
26000,1117246,10000,stand19,dont,5,415706,634486,67054,37.20809920107121,99.57926923076923,9960.0,31.297665615652516,9845,10090,-1.34428801942456,0,0.0,2025,7.788461538461538,22.939
26000,1126990,10000,stand18,dont,5,458205,582355,86430,40.65741488389427,99.76125,9975.0,31.242949895147515,9855,10095,-0.7641723998574198,0,0.0,5211,20.04230769230769,22.406
26000,1138088,10000,stand17,dont,5,473250,559611,105227,41.58290044355094,99.83392115384615,9985.0,31.408318267440794,9860,10120,-0.5287734438364212,0,0.0,7037,27.065384615384612,23.356
26000,1150692,10000,stand16,dont,5,485677,566558,98457,42.20738477368401,99.84445961538462,9985.0,32.04316250131317,9865,10095,-0.4854089686341176,0,0.0,7484,28.784615384615385,22.921
26000,1164105,10000,stand15,dont,5,494317,577843,91945,42.46326577069938,99.83937307692308,9985.0,32.07633125876071,9865,10110,-0.5007646347742912,0,0.0,7254,27.900000000000002,22.950
26000,1179149,10000,stand14,dont,5,499946,593074,86129,42.39888258396521,99.82090769230769,9980.0,32.19683000430424,9850,10110,-0.5562420513707625,0,0.0,6776,26.061538461538465,23.262
26000,1190734,10000,random,hilo,card_counting,384626,761176,44932,32.301588767936416,75.33506884615385,7932.0,1632.839098935097,784,16696,-1.5105549083147323,0,0.0,546,2.1,23.046
26000,1117252,10000,stand19,hilo,card_counting,415371,635315,66566,37.177915098831775,84.45721576923077,8679.0,1511.9975800522127,1657,24570,-1.0279635652745227,0,0.0,2441,9.388461538461538,23.218
26000,1126845,10000,stand18,hilo,card_counting,459122,581171,86552,40.74402424468316,90.88020423076924,9210.5,1572.3033447285986,2296,29451,-0.5800277535379136,0,0.0,5904,22.707692307692305,24.258
26000,1138004,10000,stand17,hilo,card_counting,474909,558459,104636,41.7317513822447,93.58797884615385,9425.0,1604.1089032934392,2344,26156,-0.39972480301564745,0,0.0,7644,29.4,23.723
26000,1150807,10000,stand16,hilo,card_counting,484744,568116,97947,42.12209345268146,93.83394346153847,9459.0,1590.4229331663182,2539,24299,-0.3876991717030736,0,0.0,7825,30.096153846153843,24.690
26000,1164016,10000,stand15,hilo,card_counting,494907,577613,91496,42.51719907630135,94.08612115384616,9489.0,1622.2016063793744,2349,28852,-0.36455880840564253,0,0.0,7999,30.765384615384615,24.059
26000,1178864,10000,stand14,hilo,card_counting,502257,590206,86401,42.60516904409669,93.90048961538461,9456.0,1636.5008409322893,2646,27203,-0.37271660558026903,0,0.0,7910,30.423076923076923,24.072
26000,1190916,10000,random,dont,10,384049,761663,45204,32.2482022241703,98.54763846153847,9850.0,63.11995117467307,9640,10110,-2.3009547875637426,0,0.0,245,0.9423076923076923,22.197
26000,1116964,10000,stand19,dont,10,415200,635354,66410,37.172191762670955,99.15325384615385,9910.0,61.65694446661949,9660,10160,-1.3733183847678048,0,0.0,1918,7.3769230769230765,22.222
26000,1127079,10000,stand18,dont,10,458772,581792,86515,40.70451139627302,99.52684615384615,9950.0,63.39674615333087,9670,10200,-0.7463377458040018,0,0.0,5269,20.265384615384615,22.908
26000,1138156,10000,stand17,dont,10,474295,558237,105624,41.67223122313637,99.67714615384615,9970.0,63.01159017521797,9730,10220,-0.5123721608295874,0,0.0,7146,27.484615384615385,22.651
26000,1150280,10000,stand16,dont,10,485802,566267,98211,42.233369266613344,99.69051923076923,9970.0,63.694760962681116,9740,10220,-0.48588104351643957,0,0.0,7438,28.607692307692307,22.811
26000,1164047,10000,stand15,dont,10,495165,576616,92266,42.538230844630846,99.68672692307692,9970.0,63.81854306667448,9730,10220,-0.4908809600930203,0,0.0,7392,28.430769230769233,23.156
26000,1179306,10000,stand14,dont,10,500971,592502,85833,42.48015358185238,99.64795769230768,9960.0,64.5447017289141,9710,10230,-0.5454240212788765,0,0.0,7030,27.03846153846154,23.017
26000,1191229,10000,random,hilo,card_counting,384743,761966,44520,32.297988044280316,75.32110307692308,7930.0,1621.0776667015136,1230,15910,-1.5223759743289962,0,0.0,487,1.873076923076923,23.441
26000,1117301,10000,stand19,hilo,card_counting,414444,635776,67081,37.09331684120931,84.22712961538461,8676.0,1526.0889531781884,2050,26271,-1.0335485589989535,0,0.0,2578,9.915384615384614,23.297
26000,1127071,10000,stand18,hilo,card_counting,460535,580318,86218,40.86122347216812,91.05137192307691,9215.0,1581.3451163975292,2086,35414,-0.5658871035886832,0,0.0,6024,23.16923076923077,23.359
26000,1137896,10000,stand17,hilo,card_counting,473572,559327,104997,41.61821466988196,93.54459769230769,9406.0,1612.103214493567,2434,24104,-0.40043356093178184,0,0.0,7597,29.21923076923077,24.160
26000,1150357,10000,stand16,hilo,card_counting,485906,566814,97637,42.23958301640273,94.08107653846155,9481.0,1612.6806889424035,2474,27683,-0.3670238939501472,0,0.0,7882,30.315384615384616,23.686
26000,1163850,10000,stand15,hilo,card_counting,494350,577472,92028,42.475404906130514,94.09172961538461,9486.0,1628.757836787131,2338,24177,-0.3627470119357937,0,0.0,7994,30.746153846153845,24.592
26000,1178997,10000,stand14,hilo,card_counting,501047,591766,86184,42.497733242747856,93.78888192307693,9451.0,1631.568276006181,2023,22142,-0.38068392038897153,0,0.0,7853,30.203846153846154,23.727
26000,1191205,10000,random,dont,15,383477,763054,44674,32.1923598373076,97.81013269230769,9775.0,94.87200509501577,9415,10195,-2.3082333987767263,0,0.0,234,0.8999999999999999,21.972
26000,1117234,10000,stand19,dont,15,415138,635192,66904,37.157659004290956,98.7304576923077,9865.0,92.84045969908489,9535,10270,-1.3674450900040227,0,0.0,1935,7.4423076923076925,22.578
